('OE.', 'AS.', 'OE.', 'OE.')
('L.', 'L.', 'OF.', 'OE.')
('OE.', 'L.', 'F.', 'OE.')
('OE.', 'OE.', 'AS.', 'F.')
('AS.', 'AS.', 'AS.', 'F.')
('AS.', 'AS.', 'OE.', 'OE.')
('AS.', 'OE.', 'OE.', 'L.')
('OE.', 'F.', 'AS.', 'OE.')
('L.', 'F.', 'AS.', 'L.')
('F.', 'L.', 'OE.', 'AS.')
('AS.', 'OE.', 'AS.', 'F.')
('AS.', 'AS.', 'OE.', 'L.')
('OE.', 'AS.', 'F.', 'F.')
('OF.', 'AS.', 'OE.', 'OE.')
('OE.', 'AS.', 'OE.', 'F.')
('AS.', 'AS.', 'AS.', 'L.')
('OE.', 'L.', 'AS.', 'L.')
('F.', 'OE.', 'AS.', 'L.')
('AS.', 'OE.', 'OF.', 'L.')
('AS.', 'F.', 'L.', 'L.')
('OE.', 'OF.', 'L.', 'L.')
('OE.', 'OE.', 'L.', 'F.')
('AS.', 'AS.', 'AS.', 'AS.')
('OE.', 'AS.', 'AS.', 'F.')
('OF.', 'AS.', 'AS.', 'AS.')
('F.', 'AS.', 'AS.', 'OE.')
('L.', 'L.', 'L.', 'AS.')
('OE.', 'AS.', 'OE.', 'L.')
('OE.', 'OE.', 'OF.', 'AS.')
('F.', 'AS.', 'L.', 'OE.')
('L.', 'OE.', 'AS.', 'AS.')
('L.', 'L.', 'AS.', 'AS.')
('L.', 'OE.', 'L.', 'AS.')
('F.', 'AS.', 'NL.', 'AS.')
('F.', 'L.', 'AS.', 'F.')
('L.', 'AS.', 'F.', 'OE.')
('OE.', 'F.', 'AS.', 'L.')
('L.', 'OE.', 'AS.', 'F.')
('OF.', 'AS.', 'F.', 'AS.')
('AS.', 'OF.', 'OE.', 'L.')
('AS.', 'OE.', 'AS.', 'OF.')
('AS.', 'F.', 'F.', 'OE.')
('OE.', 'F.', 'AS.', 'NL.')
('F.', 'L.', 'OE.', 'F.')
('F.', 'L.', 'L.', 'F.')
('F.', 'OE.', 'L.', 'L.')
('OE.', 'F.', 'OE.', 'F.')
('OE.', 'AS.', 'F.', 'OE.')
('OF.', 'OE.', 'L.', 'OE.')
