('F.', 'L.', 'L.', 'OF.')
('NL.', 'OE.', 'OE.', 'OE.')
('F.', 'OE.', 'OF.', 'OF.')
('NL.', 'OE.', 'AS.', 'AS.')
('OE.', 'OF.', 'OF.', 'AS.')
('NL.', 'AS.', 'OE.', 'L.')
('OF.', 'OF.', 'AS.', 'F.')
('F.', 'AS.', 'F.', 'F.')
('OE.', 'L.', 'L.', 'NL.')
('L.', 'L.', 'NL.', 'AS.')
('OF.', 'OF.', 'OE.', 'F.')
('NL.', 'AS.', 'OE.', 'F.')
('L.', 'L.', 'F.', 'OF.')
('F.', 'OE.', 'L.', 'F.')
('L.', 'F.', 'OF.', 'AS.')
('L.', 'OF.', 'AS.', 'NL.')
('OF.', 'AS.', 'F.', 'L.')
('F.', 'OF.', 'L.', 'L.')
('NL.', 'L.', 'AS.', 'OF.')
('AS.', 'L.', 'OE.', 'NL.')
('L.', 'OE.', 'NL.', 'AS.')
('F.', 'OE.', 'L.', 'OF.')
('NL.', 'AS.', 'OE.', 'AS.')
('AS.', 'L.', 'L.', 'NL.')
('L.', 'L.', 'NL.', 'OE.')
('OE.', 'F.', 'L.', 'NL.')
('F.', 'L.', 'NL.', 'AS.')
('F.', 'AS.', 'AS.', 'NL.')
('L.', 'NL.', 'AS.', 'OE.')
('OF.', 'AS.', 'F.', 'F.')
('OE.', 'NL.', 'AS.', 'L.')
('OF.', 'F.', 'L.', 'AS.')
('AS.', 'OF.', 'F.', 'L.')
('F.', 'L.', 'F.', 'OE.')
('OE.', 'NL.', 'AS.', 'F.')
('OF.', 'L.', 'F.', 'F.')
('NL.', 'AS.', 'F.', 'L.')
('F.', 'OE.', 'F.', 'OF.')
('F.', 'F.', 'OF.', 'AS.')
('OE.', 'NL.', 'OE.', 'L.')
('NL.', 'OE.', 'OF.', 'AS.')
('AS.', 'NL.', 'OE.', 'OF.')
('AS.', 'OE.', 'NL.', 'F.')
('L.', 'OF.', 'AS.', 'OF.')
('OE.', 'NL.', 'F.', 'OE.')
('NL.', 'F.', 'OE.', 'OE.')
('NL.', 'F.', 'L.', 'AS.')
('OE.', 'NL.', 'F.', 'L.')
('L.', 'F.', 'F.', 'L.')
('OE.', 'L.', 'F.', 'OF.')
('OF.', 'F.', 'OF.', 'OE.')
('OE.', 'OF.', 'F.', 'OF.')
('OF.', 'AS.', 'L.', 'OF.')
('AS.', 'NL.', 'AS.', 'NL.')
('NL.', 'AS.', 'NL.', 'AS.')
('F.', 'OE.', 'L.', 'NL.')
('L.', 'NL.', 'AS.', 'AS.')
('OE.', 'L.', 'NL.', 'L.')
('L.', 'NL.', 'L.', 'OE.')
('AS.', 'OF.', 'F.', 'F.')
('OF.', 'F.', 'F.', 'AS.')
('OE.', 'L.', 'OF.', 'F.')
('AS.', 'F.', 'OF.', 'OF.')
('F.', 'OF.', 'OF.', 'OE.')
('OF.', 'F.', 'L.', 'L.')
('L.', 'OF.', 'OF.', 'OF.')
('OF.', 'OF.', 'OF.', 'AS.')
('L.', 'OF.', 'L.', 'OF.')
('L.', 'NL.', 'F.', 'L.')
('L.', 'L.', 'NL.', 'F.')
('OF.', 'L.', 'L.', 'OF.')
('AS.', 'AS.', 'AS.', 'NL.')
('NL.', 'OE.', 'AS.', 'OF.')
('L.', 'L.', 'NL.', 'L.')
('NL.', 'OE.', 'AS.', 'F.')
('L.', 'OE.', 'NL.', 'OE.')
('OE.', 'L.', 'OE.', 'NL.')
('NL.', 'OE.', 'L.', 'L.')
('OE.', 'F.', 'OF.', 'F.')
('AS.', 'L.', 'NL.', 'L.')
('L.', 'NL.', 'L.', 'AS.')
('F.', 'L.', 'F.', 'L.')
('OE.', 'NL.', 'OE.', 'OF.')
('OF.', 'F.', 'OE.', 'OF.')
('F.', 'OE.', 'F.', 'F.')
('F.', 'OE.', 'F.', 'L.')
('F.', 'AS.', 'OF.', 'OF.')
('OF.', 'OF.', 'OF.', 'OE.')
('L.', 'OF.', 'F.', 'L.')
('AS.', 'OE.', 'F.', 'NL.')
('OE.', 'F.', 'NL.', 'L.')
('F.', 'NL.', 'L.', 'OE.')
('AS.', 'OF.', 'OF.', 'OF.')
('F.', 'F.', 'L.', 'F.')
('AS.', 'F.', 'F.', 'F.')
('OF.', 'F.', 'OF.', 'AS.')
('NL.', 'AS.', 'AS.', 'OF.')
('OE.', 'OF.', 'F.', 'F.')
('OF.', 'F.', 'F.', 'OE.')
('NL.', 'OE.', 'L.', 'F.')
('NL.', 'F.', 'AS.', 'AS.')
('AS.', 'L.', 'NL.', 'F.')
('F.', 'F.', 'F.', 'OE.')
('L.', 'NL.', 'F.', 'AS.')
('NL.', 'OE.', 'OF.', 'OE.')
('OF.', 'OE.', 'F.', 'OF.')
('NL.', 'AS.', 'OF.', 'OE.')
('AS.', 'NL.', 'AS.', 'OF.')
('F.', 'AS.', 'OF.', 'F.')
('L.', 'NL.', 'OF.', 'F.')
('OE.', 'L.', 'NL.', 'OF.')
('OE.', 'OF.', 'NL.', 'OF.')
('NL.', 'OF.', 'OE.', 'L.')
('OE.', 'OE.', 'OF.', 'NL.')
('NL.', 'OF.', 'F.', 'L.')
('F.', 'F.', 'OE.', 'OF.')
('OF.', 'NL.', 'OF.', 'OE.')
('AS.', 'AS.', 'NL.', 'OF.')
('OF.', 'AS.', 'OF.', 'OF.')
('AS.', 'NL.', 'L.', 'OE.')
('NL.', 'OF.', 'L.', 'L.')
('AS.', 'NL.', 'OF.', 'AS.')
('AS.', 'NL.', 'OF.', 'L.')
('NL.', 'OF.', 'AS.', 'AS.')
('AS.', 'AS.', 'NL.', 'L.')
('AS.', 'NL.', 'OF.', 'OE.')
('NL.', 'OF.', 'OE.', 'OE.')
('NL.', 'OF.', 'AS.', 'OE.')
('AS.', 'NL.', 'OF.', 'OF.')
('L.', 'AS.', 'NL.', 'OF.')
('NL.', 'OF.', 'OF.', 'AS.')
('OE.', 'AS.', 'NL.', 'OF.')
('L.', 'L.', 'NL.', 'OF.')
('L.', 'NL.', 'OF.', 'AS.')
('NL.', 'OF.', 'L.', 'OE.')
('AS.', 'NL.', 'L.', 'L.')
('NL.', 'OF.', 'F.', 'AS.')
('OF.', 'AS.', 'OE.', 'NL.')
('AS.', 'NL.', 'OF.', 'F.')
('AS.', 'OF.', 'NL.', 'L.')
('L.', 'AS.', 'OF.', 'NL.')
('F.', 'F.', 'F.', 'AS.')
('L.', 'NL.', 'L.', 'L.')
('OF.', 'NL.', 'L.', 'AS.')
('OE.', 'F.', 'F.', 'OF.')
('F.', 'L.', 'F.', 'F.')
('F.', 'L.', 'OF.', 'F.')
('AS.', 'NL.', 'AS.', 'F.')
('NL.', 'AS.', 'F.', 'F.')
('OE.', 'NL.', 'F.', 'AS.')
('NL.', 'AS.', 'F.', 'OE.')
('NL.', 'OE.', 'F.', 'OE.')
('L.', 'AS.', 'F.', 'NL.')
('AS.', 'F.', 'NL.', 'OE.')
('F.', 'NL.', 'OE.', 'F.')
('OF.', 'OE.', 'OF.', 'F.')
('OF.', 'F.', 'L.', 'F.')
('L.', 'F.', 'F.', 'F.')
('L.', 'NL.', 'OE.', 'AS.')
('NL.', 'OE.', 'F.', 'AS.')
('L.', 'NL.', 'OE.', 'F.')
('OF.', 'L.', 'OF.', 'F.')
('NL.', 'AS.', 'NL.', 'OE.')
('L.', 'L.', 'L.', 'NL.')
('NL.', 'OE.', 'L.', 'OF.')
('L.', 'NL.', 'AS.', 'F.')
('F.', 'L.', 'NL.', 'L.')
('NL.', 'L.', 'L.', 'AS.')
('AS.', 'NL.', 'F.', 'OE.')
('L.', 'AS.', 'NL.', 'F.')
('NL.', 'AS.', 'AS.', 'NL.')
('NL.', 'AS.', 'L.', 'F.')
('NL.', 'OF.', 'OE.', 'AS.')
('OE.', 'OE.', 'NL.', 'NL.')
('NL.', 'OF.', 'OE.', 'OF.')
('OE.', 'NL.', 'NL.', 'OF.')
('NL.', 'NL.', 'OF.', 'OE.')
('OF.', 'NL.', 'L.', 'OE.')
('L.', 'AS.', 'L.', 'NL.')
('F.', 'OF.', 'OE.', 'NL.')
('OF.', 'OE.', 'NL.', 'OE.')
('L.', 'F.', 'L.', 'NL.')
('L.', 'F.', 'OF.', 'L.')
('OF.', 'L.', 'F.', 'OF.')
('OF.', 'F.', 'AS.', 'F.')
('OE.', 'F.', 'F.', 'F.')
('NL.', 'NL.', 'OE.', 'OE.')
('AS.', 'L.', 'NL.', 'NL.')
('L.', 'NL.', 'NL.', 'OE.')
('NL.', 'F.', 'L.', 'OF.')
('NL.', 'NL.', 'OE.', 'NL.')
('AS.', 'OF.', 'F.', 'OF.')
('OE.', 'NL.', 'AS.', 'OF.')
('NL.', 'OE.', 'NL.', 'AS.')
('AS.', 'NL.', 'NL.', 'OE.')
('F.', 'AS.', 'NL.', 'NL.')
('OF.', 'OE.', 'AS.', 'NL.')
('F.', 'F.', 'OF.', 'F.')
('AS.', 'OF.', 'OF.', 'F.')
('OF.', 'OF.', 'F.', 'AS.')
('NL.', 'L.', 'F.', 'L.')
('NL.', 'AS.', 'F.', 'AS.')
('OF.', 'F.', 'OE.', 'F.')
('L.', 'L.', 'AS.', 'NL.')
('OF.', 'L.', 'OE.', 'NL.')
('L.', 'F.', 'L.', 'F.')
('NL.', 'L.', 'OE.', 'OF.')
('OF.', 'L.', 'OF.', 'L.')
('OF.', 'OF.', 'L.', 'OF.')
('L.', 'F.', 'F.', 'OF.')
('F.', 'OE.', 'OF.', 'F.')
('NL.', 'OE.', 'OE.', 'NL.')
('OE.', 'NL.', 'OF.', 'OE.')
('F.', 'NL.', 'OE.', 'OE.')
('OE.', 'OE.', 'NL.', 'OF.')
('OE.', 'AS.', 'F.', 'NL.')
('OF.', 'OE.', 'F.', 'F.')
('OF.', 'AS.', 'NL.', 'L.')
('F.', 'AS.', 'NL.', 'OF.')
('NL.', 'L.', 'AS.', 'L.')
('F.', 'AS.', 'NL.', 'F.')
('L.', 'NL.', 'OF.', 'OE.')
('AS.', 'L.', 'NL.', 'OF.')
('OE.', 'OF.', 'OE.', 'NL.')
('OF.', 'OF.', 'AS.', 'OF.')
('AS.', 'NL.', 'OE.', 'F.')
('F.', 'L.', 'OE.', 'NL.')
('NL.', 'OE.', 'F.', 'L.')
('OE.', 'NL.', 'OE.', 'F.')
('NL.', 'AS.', 'OE.', 'OF.')
('L.', 'F.', 'AS.', 'NL.')
('F.', 'AS.', 'NL.', 'L.')
('F.', 'OE.', 'NL.', 'AS.')
('L.', 'F.', 'OE.', 'NL.')
('NL.', 'AS.', 'OF.', 'F.')
('F.', 'OE.', 'AS.', 'NL.')
('OF.', 'F.', 'L.', 'OF.')
('AS.', 'AS.', 'NL.', 'NL.')
('NL.', 'NL.', 'AS.', 'OE.')
('AS.', 'NL.', 'NL.', 'AS.')
('NL.', 'OE.', 'OE.', 'F.')
('OF.', 'OE.', 'NL.', 'AS.')
('AS.', 'OF.', 'AS.', 'NL.')
('F.', 'OF.', 'L.', 'OF.')
('NL.', 'L.', 'L.', 'L.')
('OE.', 'OF.', 'NL.', 'AS.')
('OF.', 'NL.', 'AS.', 'OE.')
