, (L
CAUTER, F
CAUTERIZATION, Cf
Cau"ter*ize, v. t. [imp. & p. p. Cauterized; p. pr. & vb. n., L
CAUTERY, L
CAUTION, F
CAUTIOUS, Cf
CAVALCADE, F
CAVALERO; CAVALIERO, Sp
CAVALIER, F
CAVALLY, Cf
CAVALRY, F
CAVATINA, It
CAVE, F
CAVE, Cf
, See To cave in, below
retreat from a position; to give way; to yield in a disputed matter., Flem
CAVEAT, L
We think it right to enter our caveat against a conclusion. Jeffrey., L
CAVERN, L
CAVERNOUS, L
CAVERNULOUS, L
CAVESSON; CAVEZON, F
CAVETTO, It
CAVIARE; CAVIAR, F
CAVICORN, L
CAVICORNIA, NL
Cav"il, v. i. [imp. & p. p. Caviled or Cavilled (; p. pr. & vb. n., L
CAVILLATION, F
CAVILOUS; CAVILLOUS, L
CAVIN, F
CAVITY, L
CAVO-RILIEVO, It
CAVY, NL
CAW, 
CAWK, Prov
CAYENNE, From Cayenne, a town and island in French Guiana,
CAYMAN, From the language of Guiana: cf
CAZIQUE; CAZIC, Sp
CEASE, 
CECIDOMYIA, Nl
CECITY, L
CECUTIENCY, L
CEDAR, AS
CEDE, L
CEDILLA, Sp
CEDRAT, Cf
CEDRINE, L
CEDULE, F
CEDUOUS, L
CEIL, 
CEILING, See Cell, v
CEINT, See Cincture
CELADON, F
CELANDINE; CALANDINE, OE
CELATURE, L
CELEBRANT, L
Cel"e*brate, v. t. [imp. & p. p. Celebrated; p. pr. & vb. n., L
CELEBRATION, L
CELEBRATOR, L
CELEBRITY, L
CELERITY, L
CELERY, F
CELESTIAL, OF
CELESTIFY, L
CELESTINE; CELESTITE, LL
CELIBACY, See Celibate, n
CELIBATE, L
CELIDOGRAPHY, Gr
CELL, OF
CELLA, L
CELLAR, OE
CELLARER, LL
CELLARET, Dim of cellar
CELLEPORE, L
CELLIFEROUS, Cell + -ferous
CELLULAR, L
CELLULE, L
CELLULIFEROUS, L
CELLULITIS, NL
CELLULOID, Cellulose + -oid
CELOTOMY, Gr
CELSITURE, L
CELT, L
CELT, LL
CELTIBERIAN, L
CELTIC, L
CEMBALO, It
CEMENT, OF
Ce*ment", v. t. [imp. & p. p. Cemented; p. pr. & vb. n. Cementing.], Cf
CEMENTITIOUS, L
CEMETERY, L
CENANTHY, Gr
CENATION, L
CENATORY, L
CENOBITE, L
CENOBITIC; CENOBITICAL, Cf
CENOGAMY, Gr
CENOTAPH, Gr
CENOZOIC, Gr
CENSE, OF
CENSE, 
CENSER, For incenser, fr
CENSOR, L
CENSORIOUS, L
CENSUAL, L
CENSURE, L
Cen"sure, v. i. [imp. & p. p. Censured; p. pr. & vb. n. Censuring.], Cf
CENSUS, L
CENT, F
CENTAL, L
CENTARE, F
CENTAUR, L
CENTAUREA, NL
CENTAURY, L
CENTENARY, L
CENTENNIAL, L
CENTER, F
CENTESIMAL, L
CENTESIMATION, L
CENTESIMO, It
CENTESM, L
CENTIARE, F
CENTICIPITOUS, L
CENTIFIDOUS, L
CENTIFOLIOUS, L
CENTIGRADE, L
CENTIGRAM; CENTIGRAMME, F
CENTILITER; CENTILITRE, F
CENTILOQUY, L
CENTIME, F
CENTIMETER; CENTIMETRE, F
CENTINODY, L
CENTIPED, L
CENTISTERE, F
CENTNER, Cf
CENTO, L
CENTRAL, L
CENTRAL; CENTRALE, NL
CENTRALIZATION, Cf
Cen"tral*ize, v. t. [imp. & p. p. Centralized; p. pr. & vb. n., Cf
CENTRIFUGAL, L
CENTRIPETAL, L
CENTRISCOID, NL
CENTROBARIC, Gr
CENTROID, L
CENTROLECITHAL, Gr
CENTROLINEAL, L
CENTROSOME, Gr
CENTROSTALTIC, Gr
CENTRUM, L
CENTUMVIR, L
CENTUMVIRAL, L
CENTUMVIRATE, Cf
CENTUPLE, L
Cen*tu"pli*cate, v. t. [imp. & p. p. Centuplicated; p. pr. & vb. n., L
CENTURIAL, L
CENTURIATE, L
CENTURIATE, See century
CENTURIATOR; CENTURIST, Cf
CENTURION, L
CENTURY, L
CEPEVOROUS, L
CEPHALAD, Gr
CEPHALALGIA; CEPHALALGY, L
CEPHALALGIC, L
CEPHALANTHIUM, NL
CEPHALASPIS, NL
CEPHALATA, NL
CEPHALIC, L
CEPHALITIS, NL
CEPHALO; CEPHALO-, Gr
CEPHALOCERCAL, Cephalo- + Gr
CEPHALOID, Cephalo- + -oid
CEPHALOLOGY, Cephalo- + -logy
CEPHALOMERE, Cephalo- + -mere
CEPHALOMETER, Cephalo- + -meter
CEPHALOPHORA, NL
CEPHALOPODA, NL
CEPHALOPTERA, NL
CEPHALOSOME, Cephalo- + -some body
CEPHALOSTYLE, Cephalo- + Gr
CEPHALOTHORAX, Cephalo- + thorax
CEPHALOTOME, Cephalo- + Gr
CEPHALOTRIBE, Cephalo- + Gr
CEPHALOTRIPSY, See Cephalotribe
CEPHALOTROCHA, NL
CEPHALOUS, Gr
CERACEOUS, L
CERAGO, L
CERAMIC, Gr
CERAMICS, See Ceramic
CERARGYRITE, Gr
CERASTES, L
CERATE, L
CERATED, L
CERATINE, Gr
CERATOBRANCHIA, NL
CERATODUS, NL
CERATOHYAL, Gr
CERATOSAURUS, NL
CERATOSPONGIAE, NL
CERAUNICS, Gr
CERAUNOSCOPE, Gr
CERBERUS, L
CERCAL, Gr
CERCARIA, NL
CERCOPOD, Gr
CERCUS, NL
CERE, L
CERE, L
CEREAL, L
CEREALIA, L
CEREBELLUM, L
CEREBRAL, L
CEREBRAL, A false translation of the Skr
CEREBRIFORM, Cerebrum + -form
CEREBRIFUGAL, Cerebrum + L
CEREBRIN, From Cerebrum
CEREBRIPETAL, Cerebrum + L
CEREBRITIS, NL
CEREBROID, Cerebrum + -oid
CEREBROLOGY, Cerebrum + -logy
CEREBROPATHY, Cerebrum + Gr
CEREBROSCOPY, Cerebrum + -scopy
CEREBROSE, From Cerebrum
CEREBRO-SPINAL, Cerebrum + spinal
CEREBRUM, L
CERECLOTH, L
CEREMENT, L
CEREMONIAL, L
CEREMONIOUS, Cf
CEREMONY, F
CEREOUS, L
CERES, L
CERESIN, L
CEREUS, L
CERIFEROUS, L
CERIN, L
CERISE, F
CERITE, Gr
CERITE, From Cherium
CERIUM, Named dy Berzelius in 1803 from the asteroid
CERNUOUS, L
CERO, Corrupt
CEROGRAPH, Gr
CEROGRAPHY, Gr
CEROLITE, Gr
CEROMA, L
CEROMANCY, Gr
CEROON, See Seroon
CEROPLASTIC, Gr
CEROPLASTICS; CEROPLASTY, Gr
CEROSIN, L
CEROTE, Obs
CEROTENE, L
CEROTIC, See Cerotene
CEROTIN, See Cerotene
CERRIAL, L
CERRIS, L
CERTAIN, F
CERTAINTY, OF
CERTES, F
CERTIFICATE, F
Cer*tif"i*cate, v. t. [imp. & p. p. Certificated; p. pr. & vb. n., See Certify
CERTIFICATION, L
Cer"ti*fy, v. t. [imp. & p. p. Certified; p. pr. & vb. n., F
CERTIORARI, So named from the emphatic word certiorari
CERTITUDE, LL
CERULE, L
CERULEAN, L
CERULIFIC, L
CERUMEN, NL
CERUSE, F
CERVANTITE, Named from Cervantes a town in Spain
CERVELAT, F
CERVICAL, L
CERVICIDE, L
CERVINE, L
CERVIX, L
CERVUS, L
CERYL, L
CESPITINE, L
CESPITITIOUS, L
CESPITOSE, L
CESPITOUS, See Cespitose
CESS, For sess, conts
CESS, F
CESSANT, L
CESSATION, F
CESSAVIT, L
CESSER, From Cess, v
CESSIBLE, Cf
CESSION, L
CESSIONARY, LL
CESSMENT, From Cess, v
CESSOR, From Cess, v
CESSOR, From Cess, v
CESSPOOL, See Sesspol
CEST, L
CESTOIDEA, NL
CESTRACIONT, Gr
CESTUS, L
CESTUS, L
CESTUY; CESTUI, Norm
, norm
interest in which is vested in a trustee. Wharton., Norm
CETACEA, NL
CETE, L
CETENE, See Cete
CETERACH, F
CETEWALE, OF
CETIN, L
CETOLOGY, Gr
CETRARIN, From Cetraria Islandica, the scientific name of
CETYL, Gr
CEYLANITE, F
CHABASITE; CABAZITE, Gr
CHABLIS, F
CHABOUK; CHABUK, Hind
CHACHALACA, Native name, prob
CHACMA, Native name
CHACONNE, F
CHAETETES, NL
CHAETIFEROUS, Gr
CHAETODONT, Gr
CHAETOGNATHA, NL
CHAETOPODA, NL
CHAETOTAXY, Gr
CHAFE, 
CHAFER, AS
CHAFERY, See Chafe, v
CHAFF, AC
CHAFFER, OE
Chaf"fer, v. i. [imp. & p. p. Chaffered; p. pr. & vb. n. Chaffering.], OE
CHAFFERN, See Chafe, v
CHAFFINCH, Cf
CHAFING, See Chafe, v
CHAGRIN, F
Cha*grin", v. t. [imp. & p. p. Chagrined; p. pr. & vb. n., Cf
CHAIN, F
CHAIR, OE
CHAISE, F
CHAJA, Native name
CHALAZA, NL
CHALAZIFEROUS, Chalaza + -ferous
CHALAZION, NL
CHALCANTHITE, L
CHALCEDONY, L
CHALCID FLY, From Gr
CHALCIDIAN, L
CHALCOCITE, Gr
CHALCOGRAPHY, Gr
CHALCOPYRITE, Gr
CHALDAIC, L
CHALDEAN, L
CHALDRICH; CHALDER, Icel
CHALDRON, OF
CHALET, F
CHALICE, OR
CHALK, AS
CHALLENGE, OE
Chal"lenge, v. t. [imp. & p. p. Challenged; p. pr. & vb. n., OE
CHALLIS, F
CHALYBEAN, L
CHALYBEATE, NL
CHAM, See Chap
CHAM, See Khan
CHAMADE, F
CHAMAL, Native name
CHAMBER, F
CHAMBERLAIN, OF
CHAMECK, Native Brazilian name
CHAMELEON, L
CHAMFER, See Chamfron
CHAMFRET, See Chamfron
CHAMFRON, F
CHAMOIS, F
CHAMP, 
CHAMP; CHAMPE, F
CHAMPAGNE, F
CHAMPAIGN, OF
CHAMPERTOR, F
CHAMPERTY, F
CHAMPIGNON, F
CHAMPION, F
CHAMSIN, F
CHANCE, F
CHANCEL, OF
CHANCELLERY, Cf
CHANCELLOR, OE
CHANCE-MEDLEY, Chance + medley
CHANCERY, F
CHANCRE, F
CHANCROID, Chancre + -oil
CHANCROUS, Cf
CHANDELIER, F
CHANDLER, F
CHANFRIN, F
CHANGE, 
CHANGE, F
, See Exchange
CHANGEABLE, Cf
CHANGELING, Change + -ling
CHANK, Skr
CHANNEL, OE
, Cf
CHANSON, F
CHANSONNETTE, F
CHANT, 
CHANT, F
His strange face, his strange chant. Macaulay., F
CHANTANT, F
CHANTER, Cf
CHANTERELLE, F
CHANTICLEER, F
CHANTRESS, Cf
CHANTRY, OF
CHAOMANCY, Gr
CHAOS, L
CHAP, 
CHAP, From Chap, v
CHAP, OE
CHAP, Perh
CHAP, See Cheapen
CHAPARRAL, Sp
CHAPBOOK, See Chap to cheapen
CHAPE, F
CHAPEAU, F
, F
CHAPEL, OF
CHAPELET, F
CHAPELLANY, Cf
CHAPELRY, Cf
CHAPERON, F
Chap"er*on, v. t. [imp. & p. p. Chaperoned; p. pr. & vb. n., Cf
CHAPITER, OF
CHAPLAIN, F
CHAPLET, F
CHAPMAN, AS
CHAPTER, OF
CHAPTREL, See Chapiter
CHAR; CHARR, Ir
CHAR, F
CHAR, OE
CHAR; CHARE, See 3d Char
CHAR, 
CHARA, NL
CHAR-A-BANC, F
CHARACTER, L
CHARACTERISM, Gr
CHARACTERISTIC, Gr
Char"ac*ter*ize, v. t. [imp. & p. p. Characterized; p. pr. & vb. n., LL
CHARADE, F
CHARBON, F
CHARCOAL, See Char, v
CHARD, Cf
CHARGE, 
CHARGE, F
, Cf
CHARGEANT, F
CHARGE D'AFFAIRES, F
CHARIOT, F
CHARISM, Gr
CHARITABLE, F
CHARITY, F
CHARIVARI, F
CHARK, Abbrev
CHARLATAN, F
CHARLATANISM, Cf
CHARLATANRY, F
CHARLES'S WAIN, Charles + wain; cf
CHARLOCK, AS
CHARLOTTE, F
bread, and filling it with bread soaked in milk, and baked. Charlotte, F
CHARM, F
CHARM, 
CHARMEL, Heb
CHARNEL, F
CHARON, L
CHARPIE, F
CHARQUI, Sp
CHARRE, LL
CHARRY, See 6th Char
CHART, A doublet of card: cf
CHARTA, L
CHARTACEOUS, L
CHARTE, F
CHARTER, OF
proceedings under it., F
CHARTISM, F
CHARTOMANCY, L
CHARTOMETER, Chart + -meter
CHARTREUSE, F
CHARTREUX, F
CHARWOMAN, See Char a chore
CHARY, AS
CHARYBDIS, L
CHASE, 
CHASE, Cf
CHASE, F
CHASE, A contraction of enchase
CHASM, L
CHASSE, F
CHASSELAS, F
CHASSEPOT, From the French inventor, A
CHASSEUR, F
CHASSIS, F
CHASTE, F
Chas"ten, v. t. [imp. & p. p. Chastened; p. pr. & vb. n. Chastening.], OE
Chas*tise", v. t. [imp & p. p. Chastised; p. pr. & vb. n., OE
CHASTISEMENT, From Chastise
CHASTITY, F
CHASUBLE, F
CHAT, 
CHATEAU, F
Note: The distinctive, French term for a fortified caste of the, F
CHATELAINE, F
CHATELET, F
CHATELLANY, F
CHATI, Cf
CHATOYANT, F
CHATOYMENT, F
CHATTEL, OF
Chat"ter, v. i. [imp. & p. p. Chattered; p. pr. & vb. n. Chattering.], Of imitative origin
CHATTY, Tamil shati
CHATWOOD, Chat a little stick + wood
CHAUD-MEDLEY, F
CHAUFFER, Cf
CHAUSSES, F
CHAUSSURE, F
CHAUVINISM, F
CHAVENDER, Cf
CHAW, 
CHAW, See Chaw, v
, Cf
CHAWDRON, OF
CHAY ROOT, Tamil shaya
CHEAP, AS
CHEAP, Abbrev
Cheap"en, v. t. [imp. & p. p. Cheapened; p. pr. & vb. n. Cheapening.], OE
, Cf
CHEAT, rob
CHEAT, 
CHEAT, Perh
CHEBACCO, From Chebacco, the former name of Essex, a town
CHEBEC, Named from its note
CHECK, OE
CHECKER, From Check, v
Check"er, v. t. [imp. & p. p. Checkered; p. pr. & vb. n. Checkering.], From OF
CHECKER, OF
CHECKERS, See Checher, v
CHECKMATE, F
CHEEK, OE
CHEEP, Cf
CHEER, OE
CHEESE, OE
CHEESELEP, Cf
CHEETAH, Hind
CHEF, F
CHEF-D'OEUVRE, F
CHEILOPLASTY, Gr
CHEILOPODA, NL
CHEIROPTERA, NL
CHEIROPTERYGIUM, NL
CHEIROSOPHY, Gr
CHEIROTHERIUM, NL
CHELA, NL
CHELERYTHRINE, Gr
CHELICERA, NL
CHELIDON, NL
CHELIDONIC, See Celandine
CHELIDONIUS, L
CHELIFER, Gr
CHELIFEROUS, Gr
CHELIFORM, Gr
CHELONE, Gr
CHELONIA, NL
CHELURA, NL
CHEMIC, See Chenistry
CHEMIGLYPHIC, Chemical +
CHEMISE, F
CHEMISETTE, F
CHEMISM, Cf
CHEMIST, Shortened from alchemist; cf
CHEMISTRY, From Chemist
CHEMITYPE, Chemical + -type
CHEMOLYSIS, Chemical + Gr
CHEMOSMOSIS, Chemical + osmosis
CHENG, Chinese
CHENILLE, F
CHENOMORPHAE, NL
CHERIMOYER, F
Cher"ish, v. t. [imp. & p. p. Cherished; p. pr. & vb. n. Cherising.], F
CHEROGRIL, L
CHEROOT, Tamil shuruttu, prop
CHERRY, OE
CHERSONESE, Gr
CHERT, Ir
Cher"ub, n.; pl. Cherubs; but the Hebrew plural Cherubim is also, Heb
CHERUP, Prob
CHERVIL, AS
CHESS, OE
CHESSES, Cf
CHESSIL, OE
CHESSOM, Cf
CHESSTREE, Cf
CHEST, OE
CHEST, AS
CHESTERLITE, See -lite
CHESTNUT, For chesten-nut; OE
CHETVERT, Russ
CHEVAL, F
Che*val"-de-frise", n.; commonly used in the pl. Chevaux-de-frise., F
CHEVALIER, F
2. A member of certain orders of knighthood. Chevalier d'industrie (, F
CHEVE, OF
CHEVELURE, F
CHEVEN, Cf
CHEVERIL, OF
CHEVET, F
CHEVISANCE, Of
CHEVRETTE, F
CHEVRON, F
CHEVROTAIN, F
CHEW, As
CHIAN, L
CHIAROSCURO; CHIARO-OSCURO, It
CHIASM; CHIASMA, NL
CHIASMUS, NL
CHIASTOLITE, Gr
CHIBOUQUE; CHIBOUK, F
CHIC, F
CHICA, Sp
CHICANE, F
CHICANE, Cf
CHICANER, Cf
CHICANERY, F
CHICH, F
CHICHA, Sp
CHICHEVACHE, F
CHICHLING; CHICHLING VETCH, Chich + -ling
CHICK, OE
CHICKEN, AS
CHICKLING, Chick+-ling
CHICK-PEA, See Chich
CHICORY, F
CHIDE, imp
Chide, v. t. Etym: [imp. Chid, or Chode (Obs.); p. p. Chidden, Chid;, AS
CHIDE, AS
CHIDESTER, Chide + -ster
CHIEF, OE
CHIEFAGE, OF
CHIEFEST, Superl
CHIEFTAIN, OE
CHIERTE, OF
CHIEVANCE, OF
CHIFF-CHAFF, So called from its note
CHIFFONIER; CHIFFONIERE, F
CHIGNON, F
CHIGOE; CHIGRE, Cf
CHIKARA, Hind
CHILBLAIN, Chill + Blain
CHILD, AS
CHILDERMAS DAY, AS
CHILDHOOD, AS
CHILDING, See Child, v
CHILI, Sp
CHILIAD, Gr
CHILIAGON, Gr
CHILIAHEDRON, Gr
CHILIAN; CHILIARCH, Gr
CHILIARCHY, Gr
CHILIASM, Gr
CHILIAST, Gr
CHILL, AS
CHILOGNATHA, NL
CHILOMA, NL
CHILOPODA, NL
CHILOSTOMA; CHILOSTOMATA, NL
CHILTERN HUNDREDS, AS
CHIMAERA, NL
CHIMAEROID, Chimæra + old
CHIMANGO, Native name] (Zoöl
CHIMB, AS
CHIME, See Chimb
CHIME, OE
CHIME, 
CHIMERA, L
CHIMERE, OF
CHIMINAGE, OF
CHIMNEY, F
CHIMPANZEE, From the native name: cf
CHIN, AS
CHINALDINE, NL
CHINCH, Cf
CHINCHA, Cf
CHINCHE, F
CHINCHILLA, Sp
CHIN COUGH, For chink cough; cf
CHINE, Cf
CHINE, OF
CHINK, OE
CHINK, Of imitative origin
CHINOIDINE, NL
CHINOLINE, NL
CHINONE, NL
CHINTZ, Hindi chint spotted cotton clooth,
CHIP, 
CHIPMUNK, Indian name
CHIPPER, Cf
CHIRAGRA, L
CHIRETTA, Hind
CHIRK, Cf
CHIRK, From Chirk, v
CHIRM, Cf
CHIROGNOMY, Gr
CHIROGRAPH, Gr
CHIROGYMNAST, Gr
CHIROLOGY, Gr
CHIROMANCY, Gr
CHIROMANIST; CHIROMANTIST, Gr
CHIRONOMY, Gr
CHIROPLAST, Gr
CHIROPODIST, Gr
CHIROSOPHIST, Gr
CHIRP, 
CHIRRE, Cf
Chir"rup, v. t. [imp. & p. p. Chirruped; p. pr. & vb. n. Chirruping.], See Chirp
CHIRURGEON, F
CHIRURGERY, See Chirurgeon, and cf
CHIRURGIC; CHIRURGICAL, Cf
CHISEL, OF
Chis"el, v. t. [imp. & p. p. Chiseled, or Chiselled (p. pr. & vb. n., Cf
CHISLEU, Heb
CHISLEY, AS
CHIT, Cf
CHITCHAT, From Chat, by way of reduplication
CHITIN, See Chiton
CHITON, Gr
CHITTER, Cf
CHITTERLINGS, Cf
CHITTRA, Native Indian name
CHIVACHIE, OF
CHIVALRIC, See Chivalry
CHIVALROUS, OF
CHIVALRY, F
CHIVE, F
CHIVY, 
CHLAMYDATE, L
CHLAMYPHORE, Gr
CHLAMYS, L
CHLOASMA, Gr
CHLORAL, Chlorine + alcohol
CHLORALAMIDE, Chloral + amide
CHLORALUM, Chlorine + aluminium
CHLORANIL, Chlorine + aniline
CHLORATE, Cf
CHLORAURATE, Chlorine + aurate
CHLORHYDRIC, Chlorine + hydrogen + -ic
CHLORIC, From Chlorine
CHLORINE, Gr
CHLORITE, Gr
CHLORITE, Chlorous + -ite
CHLORITIC, From 1st Chlorite
CHLOROCRUORIN, Gr
CHLORODYNE, From chlorine, in imitation of anodyne
CHLOROFORM, Chlorine + formyl, it having been regarded as
CHLOROLEUCITE, Gr
CHLOROMETER, Cf
CHLOROPAL, Gr
CHLOROPEPTIC, Chlorine + peptic
CHLOROPHANE, Gr
CHLOROPHYLL, Gr
CHLOROPLASTID, Gr
CHLOROSIS, NL
CHLOROTIC, Cf
CHLOROUS, See Chlorine
CHLORURET, Cf
CHOANOID, Gr
CHOCK, F
CHOCOLATE, Sp
CHOICE, OE
CHOIR, OE
CHOKE, 
CHOKEDAR, Hindi chauki-dar
CHOLAEMAA, NL
CHOLAGOGUE, Gr
CHOLATE, Gr
CHOLECYSTIS, NL
CHOLECYSTOTOMY, Cholecystis + Gr
CHOLEDOLOGY, Gr
CHOLER, OE
CHOLERA, L
CHOLERIC, L
CHOLERIFORM, Cholera + -form
CHOLEROID, Cholera + -oid
CHOLESTERIC, Cf
CHOLESTERIN, Gr
CHOLIAMB; CHOLIAMBIC, L
CHOLIC; CHOLINIC, Gr
CHOLINE, Gr
CHOLOCHROME, Gr
CHOLOPHAEIN, Gr
CHONDRIFY, Gr
CHONDRIGEN, Gr
CHONDRIGENOUS, Gr
CHONDRIN, Gr
CHONDRITE, Gr
CHONDRITIS, NL
CHONDRO-, Gr
CHONDRODITE, Gr
CHONDROGANOIDEA, NL
CHONDROGEN, Gr
CHONDROGENESIS, Gr
CHONDROID, Gr
CHONDROLOGY, Gr
CHONDROMA, NL
CHONDROMETER, Gr
CHONDROPTERYGIAN, Cf
CHONDROPTERYGII, NL
CHONDROSTEI, NL
CHONDROTOMY, Gr
CHONDRULE, Dim
Choose, v. t. [imp. Chose; p. p. Chosen, Chose (Obs.); p. pr. & vb., OE
CHOP, 
CHOP, Cf
CHOP, See Chap
CHOP, Chin
CHOPBOAT, Chin
CHOPCHURCH, See Chop to barter
CHOPHOUSE, See Chop quality
CHOPIN, F
CHOPINE, Cf
CHOPPING, Cf
CHOPPING, See Chop to barter
CHOPPY, Cf
, Cf
CHOPS, See Chop a jaw
CHORAGIC, Gr
CHORAGUS, L
CHORAL, LL
CHORD, L chorda a gut, a string made of a gut, Gr
CHORDA, NL
, NL
CHORDATA, NL
CHORDEE, F
CHORE, The same word as char work done by the day
CHOREA, NL
CHOREE, F
CHOREGRAPHY, GR
CHOREPISCOPUS, L
CHOREUS; CHOREE, L
CHORIAMBIC, L
CHORIAMBUS, L
CHORIC, L
CHORION, NL
CHORISIS, NL
CHORIST, F
CHORISTER, See Chorus
CHOROGRAPH, Gr
CHOROGRAPHY, L
CHOROID, gr
CHOROLOGY, Gr
CHOROMETRY, Gr
CHORUS, L
CHOSE, F
CHOUAN, F
CHOUGH, OE
CHOUICHA, Native name] (Zoöl
CHOUKA, Native name] (Zoöl
CHOUSE, 
CHOUT, Mahratta chauth one fourth part
CHOWCHOW, Chin
CHOWDER, F
CHOWRY, Hind
CHOWTER, Cf
CHREMATISTICS, Gr
CHREOTECHNICS, Gr
CHRESTOMATHY, Gr
CHRISM, OE
CHRISMAL, LL
CHRISMATION, LL
CHRISMATORY, LL
CHRISOM, See Chrism
CHRIST, L
Chris"ten, v. t. [imp. & p. p. Christened; p. pr. & vb. n., AS
CHRISTENDOM, AS
CHRISTIAN, L
CHRISTIANISM, L
CHRISTIANITE, In sense (a) named after Christian
CHRISTIANITY, OE
Chris"tian*ize, v. t. [imp. & p. p. Christianized (; p. pr. vb. n., Cf
CHRISTMAS, Christ + mass
CHRISTMASTIDE, Christmas + tide time
CHRISTOCENTRIC, Christ + centric
CHRISTOLOGY, Crist + -logy
CHRISTOPHANY, Christ + Gr
CHROMASCOPE, Gr
CHROMATE, Cf
CHROMATIC, L
CHROMATIN, Gr
CHROMATISM, Gr
CHROMATOGENOUS, Gr
CHROMATOGRAPHY, Gr
CHROMATOLOGY, Gr
CHROMATOPHORE, Gr
CHROMATOSCOPE, Gr
CHROMATROPE, Gr
CHROMATYPE, Gr
CHROMID, Gr
CHROMIDROSIS, NL
CHROMIUM, NL
CHROMO, Abbrev
CHROMOBLAST, Gr
CHROMOGEN, Gr
CHROMOGRAPH, Gr
CHROMOLEUCITE, Gr
CHROMOLITHOGRAPH, Gr
CHROMOPHANE, Gr
CHROMOPHORE, Gr
CHROMOPHOTOGRAPHY, Gr
CHROMOPLASTID, Gr
CHROMOSOME, Gr
CHROMOSPHERE, Gr
CHROMOTYPE, Gr
CHROMULE, Gr
CHRONIC, L
CHRONICLE, OE
CHRONIQUE, F
CHRONOGRAM, Gr
CHRONOGRAMMATIC; CHRONOGRAMMATICAL, Cf
CHRONOGRAPH, Gr
CHRONOGRAPHY, Gr
CHRONOLOGIC; CHRONOLOGICAL, Gr
CHRONOLOGIST; CHRONOLOGER, Gr
CHRONOLOGY, Gr
CHRONOMETER, Gr
CHRONOMETRIC; CHRONOMETRICAL, Cf
CHRONOMETRY, Cf
CHRONOPHER, Gr
CHRONOSCOPE, Gr
CHRYSALIS, L
CHRYSANILINE, Gr
CHRYSANTHEMUM, L
CHRYSAROBIN, Gr
CHRYSAURIN, Gr
CHRYSELEPHANTINE, Gr
CHRYSENE, Gr
CHRYSOBERYL, L
CHRYSOCHLORE, Gr
CHRYSOCOLLA, L
CHRYSOGEN, Gr
CHRYSOGRAPHY, Gr
CHRYSOIDINE, Gr
CHRYSOLITE, L
CHRYSOLOGY, Gr
CHRYSOPA, NL
CHRYSOPHANE, Gr
CHRYSOPRASE, OE
CHRYSOPRASUS, L
CHRYSOSPERM, Gr
CHRYSOTYPE, Gr
CHTHONIC, Gr
CHTHONOPHAGIA; CHTHONOPHAGY, NL
CHUB, This word seems to signify a large or thick fish
CHUCK, 
CHUCK, 
Chuc"kle, v. t. [imp. & p. p. Chuckled; p. pr. & vb. n. Chuckling.], From lst Chuck
CHUCKLE, From lst Chuck
CHUD, Cf
CHUET, From Chew, v
CHUFA, Sp
CHUFF, Perh
CHUM, Perh
CHUMP, Cf
CHUNAM, Hind
CHUNK, Cf
CHURCH, OE
CHURCH-HAW, Church + haw a yard
CHURL, AS
CHURME; CHIRM, See Chirm
CHURN, OE
CHURN, 
CHURRUS, Hind
CHURRWORM, AS
CHUTE, F
CHUTNEY; CHUTNEE, Hind
CHYLAQUEOUS, Chyle + aqueous
CHYLE, NL
CHYLIFACTION, Chyle + L
CHYLIFY, Chyle + -ly
CHYLOPOETIC, Gr
CHYLOUS, Cf
CHYLURIA, NL
CHYME, L
CHYMIFEROUS, Chyme + -ferous
CHYMIFICATION, Chyme + L
CHYMIFY, Chyme + -fy: cf
CHYOMETER, Gr
CIBARIOUS, L
CIBATION, L
CIBOL, F
CIBORIUM, LL
CICADA, L
CICALA, It
CICATRICE, F
CICATRICLE, Cf
CICATRIX, L
CICATRIZANT, Cf
CICATRIZATION, Cf
Cic"a*trize, v. t. [imp. & p. p. Cicatrized; p. pr. & vb. n., Cf
CICELY, L
CICERONE, It
CICERONIAN, L
CICHORACEOUS, See Chicory
CICISBEO, It
CICLATOUN, Of
CICURATE, L
CICURATION, Cf
CICUTA, L
CID, Sp
CIDER, F
CIDERKIN, Cider + -kin
CI-DEVANT, F
CIERGE, F
CIGAR, Sp
CIGARETTE, F
CILIA, L
CILIARY, Cf
CILIATA, NL
CILICE, F
CILICIOUS, L
CILIFORM; CILIIFORM, Cilium + -form]
CILIOGRADE, Cilium + L
CILIUM, L
CILLOSIS, NL
CIMBAL, It
CIMELIARCH, L
CIMEX, L
CIMISS, L
CIMMERIAN, L
CIMOLITE, Gr
CINCH, Sp
CINCHONA, So named from the wife of Count Chinchon,
CINCHONIDINE, From Cinchona
CINCHONINE, From Cinchona: cf
CINCHONISM, From Cinchona
CINCTURE, L
CINDER, AS
CINEFACTION, LL
CINERACEOUS, L
CINERARIA, NL
CINERARY, L
CINERATION, L
CINEREOUS, L
CINERITIOUS, L
CINGALESE, Cf
CINGLE, L
CINGULUM, L
CINNABAR, L
2. The artificial red sulphide of mercury used as a pigment;, L
CINNABARINE, Cf
CINNAMENE, From Cinnamic
CINNAMIC, From Cinnamon
CINNAMOMIC, L
CINNAMON, Heb
CINNAMONE, Cinnamic + -one
CINNAMYL, Cinnamic + -yl
CINNOLINE, Cinnamic + quinoline
CINQUE, F
CINQUECENTO, It
